Date,Count
2019-01-01,12
2019-01-02,4
2019-01-03,8
2019-01-04,15
2019-01-05,12
2019-01-06,8
2019-01-07,18
2019-01-08,12
2019-01-09,12
2019-01-10,14
2019-01-11,11
2019-01-12,9
2019-01-13,5
2019-01-14,16
2019-01-15,16
2019-01-16,14
2019-01-17,9
2019-01-18,5
2019-01-20,11
2019-01-21,12
2019-01-22,22
2019-01-23,17
2019-01-24,17
2019-01-25,16
2019-01-27,6
2019-01-28,23
2019-01-29,17
2019-01-31,5
2019-02-01,8
2019-02-02,3
2019-02-03,12
2019-02-04,12
2019-02-05,20
2019-02-06,18
2019-02-07,15
2019-02-08,12
2019-02-09,6
2019-02-10,10
2019-02-11,20
2019-02-12,23
2019-02-13,12
2019-02-14,21
2019-02-15,12
2019-02-16,6
2019-02-17,6
2019-02-18,3
2019-02-19,14
2019-02-20,15
2019-02-21,10
2019-02-22,19
2019-02-23,17
2019-02-24,8
2019-02-25,13
2019-02-26,24
2019-02-27,12
2019-02-28,17
2019-03-01,16
2019-03-02,5
2019-03-03,14
2019-03-04,23
2019-03-05,8
2019-03-06,12
2019-03-07,23
2019-03-08,15
2019-03-09,9
2019-03-10,5
2019-03-11,14
2019-03-12,11
2019-03-13,19
2019-03-14,10
2019-03-15,25
2019-03-16,26
2019-03-17,15
2019-03-18,7
2019-03-19,10
2019-03-20,14
2019-03-21,18
2019-03-22,13
2019-03-23,14
2019-03-24,4
2019-03-25,12
2019-03-26,15
2019-03-27,18
2019-03-28,12
2019-03-29,13
2019-03-30,10
2019-03-31,7
2019-04-01,19
2019-04-02,8
2019-04-03,6
2019-04-04,15
2019-04-05,22
2019-04-06,5
2019-04-07,10
2019-04-08,6
2019-04-09,11
2019-04-10,16
2019-04-11,13
2019-04-12,4
2019-04-13,11
2019-04-14,8
2019-04-15,10
2019-04-16,18
2019-04-17,3
2019-04-18,9
2019-04-19,5
2019-04-20,6
2019-04-21,12
2019-04-22,14
2019-04-23,12
2019-04-24,22
2019-04-25,6
2019-04-26,10
2019-04-27,10
2019-04-28,17
2019-04-29,10
2019-04-30,3
2019-05-01,15
2019-05-02,12
2019-05-03,18
2019-05-04,5
2019-05-05,8
2019-05-06,9
2019-05-07,18
2019-05-08,25
2019-05-09,13
2019-05-10,13
2019-05-11,5
2019-05-12,2
2019-05-13,11
2019-05-14,10
2019-05-15,16
2019-05-16,16
2019-05-17,21
2019-05-18,12
2019-05-19,16
2019-05-20,12
2019-05-21,8
2019-05-22,12
2019-05-23,12
2019-05-24,13
2019-05-25,5
2019-05-27,3
2019-05-28,16
2019-05-29,11
2019-05-30,7
2019-05-31,12
2019-06-11,9
2019-06-12,14
2019-06-13,4
2019-06-14,17
2019-06-16,6
2019-06-17,2
2019-06-18,20
2019-06-19,8
2019-06-20,15
2019-06-21,10
2019-06-22,7
2019-06-24,14
2019-06-25,13
2019-06-27,7
2019-06-28,8
2019-06-29,14
2019-06-30,13
2019-07-01,5
2019-07-02,20
2019-07-03,12
2019-07-04,8
2019-07-05,16
2019-07-06,8
2019-07-07,4
2019-07-08,19
2019-07-09,10
2019-07-10,9
2019-07-11,10
2019-07-12,14
2019-07-13,6
2019-07-14,13
2019-07-15,3
2019-07-16,21
2019-07-17,10
2019-07-18,8
2019-07-19,12
2019-07-20,5
2019-07-21,3
2019-07-22,3
2019-07-23,5
2019-07-24,9
2019-07-25,12
2019-07-26,12
2019-07-27,3
2019-07-28,12
2019-07-29,8
2019-07-30,20
2019-07-31,19
2019-08-01,11
2019-08-07,16
2019-08-08,19
2019-08-09,20
2019-08-10,19
2019-08-11,6
2019-08-12,20
2019-08-13,20
2019-08-14,22
2019-08-15,20
2019-08-16,23
2019-08-17,4
2019-08-18,15
2019-08-19,14
2019-08-20,19
2019-08-21,23
2019-08-22,8
2019-08-23,15
2019-08-24,7
2019-08-25,14
2019-08-26,10
2019-08-27,18
2019-08-28,20
2019-08-29,14
2019-08-30,19
2019-08-31,10
2019-09-01,2
2019-09-02,10
2019-09-03,20
2019-09-04,14
2019-09-05,12
2019-09-06,11
2019-09-07,12
2019-09-08,13
2019-09-09,25
2019-09-10,6
2019-09-11,4
2019-09-12,22
2019-09-13,20
2019-09-14,7
2019-09-15,12
2019-09-16,14
2019-09-17,16
2019-09-18,13
2019-09-19,15
2019-09-20,21
2019-09-21,5
2019-09-22,17
2019-09-23,21
2019-09-24,26
2019-09-25,16
2019-09-26,20
2019-09-27,11
2019-09-28,8
2019-09-29,10
2019-09-30,16
2019-10-01,12
2019-10-02,11
2019-10-03,19
2019-10-04,24
2019-10-06,10
2019-10-07,11
2019-10-08,17
2019-10-09,11
2019-10-10,15
2019-10-11,19
2019-10-12,8
2019-10-13,11
2019-10-14,11
2019-10-15,8
2019-10-16,17
2019-10-17,1
2019-10-18,18
2019-10-20,10
2019-10-21,14
2019-10-22,17
2019-10-24,18
2019-10-25,5
2019-10-26,14
2019-10-27,8
2019-10-28,18
2019-10-29,19
2019-10-30,20
2019-10-31,17
2019-11-01,19
2019-11-02,8
2019-11-03,12
2019-11-04,15
2019-11-05,15
2019-11-06,16
2019-11-07,18
2019-11-08,17
2019-11-09,14
2019-11-10,7
2019-11-11,18
2019-11-12,13
2019-11-13,6
2019-11-14,13
2019-11-15,5
2019-11-16,2
2019-11-18,15
2019-11-19,14
2019-11-20,10
2019-11-21,6
2019-11-22,14
2019-11-23,3
2019-11-24,12
2019-11-25,19
2019-11-26,10
2019-11-27,9
2019-11-28,5
2019-11-29,8
2019-11-30,3
2019-12-01,11
2019-12-02,19
2019-12-03,10
2019-12-04,21
2019-12-05,4
2019-12-20,17
2019-12-22,9
2019-12-23,11
2019-12-24,7
2019-12-26,4
2019-12-27,8
2019-12-28,11
2019-12-29,5
2019-12-30,4
2019-12-31,12
