Date,Count
2019-08-06,2
2019-08-07,2
2019-08-08,13
2019-08-09,8
2019-08-10,6
2019-08-11,15
2019-08-12,6
2019-08-13,17
2019-08-14,11
2019-08-15,13
2019-08-16,15
2019-08-17,20
2019-08-18,15
2019-08-19,16
2019-08-20,15
2019-08-21,20
2019-08-22,20
2019-08-23,14
2019-08-24,12
2019-08-25,19
2019-08-26,12
2019-08-27,14
2019-08-28,14
2019-08-29,20
2019-08-30,9
2019-08-31,12
2019-09-01,9
2019-09-02,15
2019-09-03,9
2019-09-04,17
2019-09-05,17
2019-09-06,11
2019-09-07,8
2019-09-08,19
2019-09-09,16
2019-09-10,27
2019-09-11,13
2019-09-12,22
2019-09-13,13
2019-09-14,21
2019-09-15,18
2019-09-16,21
2019-09-17,8
2019-09-18,24
2019-09-19,17
2019-09-20,12
2019-09-21,16
2019-09-22,16
2019-09-23,12
2019-09-24,12
2019-09-25,20
2019-09-26,13
2019-09-27,24
2019-09-28,18
2019-09-29,18
2019-09-30,14
2019-10-01,12
2019-10-02,19
2019-10-03,13
2019-10-04,14
2019-10-05,15
2019-10-06,14
2019-10-07,19
2019-10-08,11
2019-10-09,14
2019-10-10,12
2019-10-11,22
2019-10-12,6
2019-10-13,14
2019-10-14,18
2019-10-15,16
2019-10-16,18
2019-10-17,21
2019-10-18,17
2019-10-19,6
2019-10-20,9
2019-10-21,14
2019-10-22,13
2019-10-23,18
2019-10-24,18
2019-10-25,11
2019-10-26,12
2019-10-27,17
2019-10-28,14
2019-10-29,13
2019-10-30,19
2019-10-31,19
2019-11-01,33
2019-11-02,20
2019-11-03,15
2019-11-04,13
2019-11-05,27
2019-11-06,28
2019-11-07,28
2019-11-08,24
2019-11-09,36
2019-11-10,40
2019-11-11,53
2019-11-12,80
2019-11-13,44
2019-11-14,44
2019-11-15,49
2019-11-16,26
2019-11-17,27
2019-11-18,32
2019-11-19,52
2019-11-20,44
2019-11-21,63
2019-11-22,47
2019-11-23,31
2019-11-24,31
2019-11-25,28
2019-11-26,37
2019-11-27,44
2019-11-28,16
2019-11-29,43
2019-11-30,53
2019-12-01,70
2019-12-02,62
2019-12-03,73
2019-12-04,90
2019-12-05,88
2019-12-06,59
2019-12-07,38
2019-12-08,23
2019-12-09,37
2019-12-10,46
2019-12-11,53
2019-12-12,68
2019-12-13,55
2019-12-14,36
2019-12-15,39
2019-12-16,45
2019-12-17,59
2019-12-18,64
2019-12-19,38
2019-12-20,34
2019-12-21,23
2019-12-22,32
2019-12-23,17
2019-12-24,10
2019-12-25,15
2019-12-26,29
2019-12-27,45
2019-12-28,32
2019-12-29,35
2019-12-30,46
2019-12-31,36
