Date,Count
2019-01-01,19110
2019-01-02,24055
2019-01-03,28028
2019-01-04,29721
2019-01-05,19212
2019-01-06,18148
2019-01-07,28792
2019-01-08,30730
2019-01-09,35747
2019-01-10,38262
2019-01-11,37365
2019-01-12,21720
2019-01-13,16328
2019-01-14,29996
2019-01-15,34458
2019-01-16,36520
2019-01-17,38159
2019-01-18,36753
2019-01-19,19443
2019-01-20,17781
2019-01-21,21791
2019-01-22,35460
2019-01-23,38184
2019-01-24,40782
2019-01-25,37155
2019-01-26,19980
2019-01-27,17114
2019-01-28,27789
2019-01-29,31528
2019-01-30,9278
2019-01-31,19783
2019-02-01,36856
2019-02-02,19396
2019-02-03,16331
2019-02-04,31668
2019-02-05,35102
2019-02-06,36469
2019-02-07,42328
2019-02-08,41676
2019-02-09,22306
2019-02-10,17847
2019-02-11,33370
2019-02-12,37097
2019-02-13,39648
2019-02-14,37228
2019-02-15,41050
2019-02-16,25729
2019-02-17,20785
2019-02-18,25947
2019-02-19,36210
2019-02-20,40567
2019-02-21,44172
2019-02-22,45128
2019-02-23,28567
2019-02-24,20685
2019-02-25,34289
2019-02-26,37335
2019-02-27,39500
2019-02-28,42720
2019-03-01,43457
2019-03-02,27091
2019-03-03,25161
2019-03-04,41120
2019-03-05,42952
2019-03-06,41367
2019-03-07,43041
2019-03-08,38875
2019-03-09,22817
2019-03-10,18604
2019-03-11,33740
2019-03-12,36960
2019-03-13,39196
2019-03-14,43931
2019-03-15,46957
2019-03-16,41695
2019-03-17,24129
2019-03-18,35644
2019-03-19,36326
2019-03-20,40535
2019-03-21,41974
2019-03-22,40815
2019-03-23,25507
2019-03-24,21977
2019-03-25,31232
2019-03-26,33798
2019-03-27,34994
2019-03-28,37039
2019-03-29,37990
2019-03-30,25475
2019-03-31,21763
2019-04-01,34809
2019-04-02,36943
2019-04-03,40206
2019-04-04,46684
2019-04-05,41219
2019-04-06,19556
2019-04-07,11076
2019-04-08,18941
2019-04-09,21002
2019-04-10,23999
2019-04-11,22944
2019-04-12,20986
2019-04-13,18925
2019-04-14,21112
2019-04-15,33434
2019-04-16,34518
2019-04-17,34907
2019-04-18,42543
2019-04-19,33766
2019-04-20,23041
2019-04-21,18205
2019-04-22,30704
2019-04-23,36434
2019-04-24,38941
2019-04-25,40489
2019-04-26,38833
2019-04-27,25874
2019-04-28,18395
2019-04-29,34733
2019-04-30,39863
2019-05-01,39129
2019-05-02,43905
2019-05-03,42829
2019-05-04,28807
2019-05-05,25328
2019-05-06,37039
2019-05-07,39047
2019-05-08,40548
2019-05-09,41216
2019-05-10,39907
2019-05-11,26494
2019-05-12,21445
2019-05-13,33838
2019-05-14,34648
2019-05-15,37612
2019-05-16,41334
2019-05-17,44087
2019-05-18,30041
2019-05-19,27279
2019-05-20,40785
2019-05-21,42874
2019-05-22,38624
2019-05-23,39853
2019-05-24,33868
2019-05-25,23428
2019-05-26,20068
2019-05-27,14775
2019-05-28,32666
2019-05-29,34328
2019-05-30,41831
2019-05-31,45415
2019-06-01,32262
2019-06-02,29724
2019-06-03,38549
2019-06-04,37393
2019-06-05,38291
2019-06-06,39683
2019-06-07,39069
2019-06-08,29669
2019-06-09,28192
2019-06-10,38480
2019-06-11,40769
2019-06-12,42056
2019-06-13,40963
2019-06-14,40281
2019-06-15,27062
2019-06-16,21965
2019-06-17,33721
2019-06-18,37018
2019-06-19,41273
2019-06-20,41772
2019-06-21,41475
2019-06-22,28282
2019-06-23,23250
2019-06-24,32990
2019-06-25,38068
2019-06-26,41122
2019-06-27,40362
2019-06-28,37320
2019-06-29,23542
2019-06-30,21220
2019-07-01,26353
2019-07-02,29961
2019-07-03,25705
2019-07-04,15294
2019-07-05,21133
2019-07-06,18617
2019-07-07,16950
2019-07-08,27071
2019-07-09,31397
2019-07-10,36413
2019-07-11,37863
2019-07-12,37707
2019-07-13,27270
2019-07-14,21485
2019-07-15,33040
2019-07-16,36267
2019-07-17,38720
2019-07-18,38863
2019-07-19,40583
2019-07-20,27181
2019-07-21,22404
2019-07-22,30308
2019-07-23,32798
2019-07-24,34329
2019-07-25,36185
2019-07-26,34374
2019-07-27,24526
2019-07-28,20458
2019-07-29,29161
2019-07-30,31113
2019-07-31,33464
2019-08-01,36560
2019-08-02,35929
2019-08-03,26892
2019-08-04,23681
2019-08-05,32078
2019-08-06,33897
2019-08-07,36021
2019-08-08,37514
2019-08-09,35022
2019-08-10,24267
2019-08-11,19480
2019-08-12,29475
2019-08-13,31386
2019-08-14,32988
2019-08-15,34377
2019-08-16,32453
2019-08-17,22744
2019-08-18,18502
2019-08-19,28361
2019-08-20,33826
2019-08-21,35230
2019-08-22,36217
2019-08-23,34428
2019-08-24,23353
2019-08-25,19124
2019-08-26,29646
2019-08-27,29476
2019-08-28,31003
2019-08-29,33180
2019-08-30,29644
2019-08-31,21175
2019-09-01,18664
2019-09-02,13917
2019-09-03,28237
2019-09-04,30397
2019-09-05,34704
2019-09-06,32380
2019-09-07,19988
2019-09-08,18191
2019-09-09,30580
2019-09-10,35819
2019-09-11,39494
2019-09-12,39624
2019-09-13,39656
2019-09-14,25347
2019-09-15,21974
2019-09-16,33471
2019-09-17,36379
2019-09-18,37645
2019-09-19,40150
2019-09-20,39188
2019-09-21,25983
2019-09-22,23807
2019-09-23,33515
2019-09-24,37430
2019-09-25,39023
2019-09-26,39591
2019-09-27,38216
2019-09-28,22942
2019-09-29,19888
2019-09-30,27401
2019-10-01,31596
2019-10-02,38048
2019-10-03,38393
2019-10-04,36866
2019-10-05,22905
2019-10-06,19139
2019-10-07,28787
2019-10-08,31444
2019-10-09,31878
2019-10-10,38441
2019-10-11,41375
2019-10-12,24143
2019-10-13,21988
2019-10-14,30433
2019-10-15,36852
2019-10-16,39160
2019-10-17,39277
2019-10-18,37347
2019-10-19,24486
2019-10-20,22867
2019-10-21,32941
2019-10-22,36388
2019-10-23,35912
2019-10-24,37797
2019-10-25,36383
2019-10-26,24987
2019-10-27,22439
2019-10-28,31361
2019-10-29,36853
2019-10-30,38613
2019-10-31,34808
2019-11-01,36694
2019-11-02,22098
2019-11-03,18740
2019-11-04,29349
2019-11-05,33954
2019-11-06,35019
2019-11-07,39548
2019-11-08,35189
2019-11-09,21785
2019-11-10,20770
2019-11-11,29659
2019-11-12,39564
2019-11-13,39418
2019-11-14,40034
2019-11-15,35585
2019-11-16,20532
2019-11-17,16840
2019-11-18,31296
2019-11-19,35274
2019-11-20,35574
2019-11-21,39109
2019-11-22,37055
2019-11-23,20383
2019-11-24,16530
2019-11-25,25084
2019-11-26,29700
2019-11-27,22831
