Date,Count
2019-01-01,20125
2019-01-02,25188
2019-01-03,29122
2019-01-04,30798
2019-01-05,20173
2019-01-06,19498
2019-01-07,30255
2019-01-08,31942
2019-01-09,37124
2019-01-10,39718
2019-01-11,38744
2019-01-12,22560
2019-01-13,17351
2019-01-14,31426
2019-01-15,35850
2019-01-16,38016
2019-01-17,39639
2019-01-18,38135
2019-01-19,20302
2019-01-20,19077
2019-01-21,23313
2019-01-22,37096
2019-01-23,39898
2019-01-24,42417
2019-01-25,38596
2019-01-26,20937
2019-01-27,18336
2019-01-28,29201
2019-01-29,32987
2019-01-30,10073
2019-01-31,20984
2019-02-01,38517
2019-02-02,20297
2019-02-03,17468
2019-02-04,33410
2019-02-05,36558
2019-02-06,38059
2019-02-07,44168
2019-02-08,43284
2019-02-09,23187
2019-02-10,19125
2019-02-11,35203
2019-02-12,38815
2019-02-13,41203
2019-02-14,38757
2019-02-15,42451
2019-02-16,26671
2019-02-17,22052
2019-02-18,27959
2019-02-19,38073
2019-02-20,42302
2019-02-21,45919
2019-02-22,46664
2019-02-23,29572
2019-02-24,22022
2019-02-25,36141
2019-02-26,39052
2019-02-27,41242
2019-02-28,44858
2019-03-01,45183
2019-03-02,28204
2019-03-03,26762
2019-03-04,43168
2019-03-05,44715
2019-03-06,43176
2019-03-07,44834
2019-03-08,40475
2019-03-09,23867
2019-03-10,19961
2019-03-11,35773
2019-03-12,38694
2019-03-13,41031
2019-03-14,45986
2019-03-15,48769
2019-03-16,43092
2019-03-17,25723
2019-03-18,37615
2019-03-19,37991
2019-03-20,42280
2019-03-21,43659
2019-03-22,42282
2019-03-23,26549
2019-03-24,23391
2019-03-25,32883
2019-03-26,35405
2019-03-27,36648
2019-03-28,38790
2019-03-29,39775
2019-03-30,26930
2019-03-31,23569
2019-04-01,36930
2019-04-02,38955
2019-04-03,42088
2019-04-04,48683
2019-04-05,42864
2019-04-06,24065
2019-04-07,19794
2019-04-08,32256
2019-04-09,35325
2019-04-10,40224
2019-04-11,38486
2019-04-12,35259
2019-04-13,24671
2019-04-14,23361
2019-04-15,35856
2019-04-16,36313
2019-04-17,36493
2019-04-18,44150
2019-04-19,35005
2019-04-20,23920
2019-04-21,19377
2019-04-22,32637
2019-04-23,38155
2019-04-24,40794
2019-04-25,42274
2019-04-26,40491
2019-04-27,27144
2019-04-28,19901
2019-04-29,36770
2019-04-30,41819
