dropArea,Percentage
1,0.16
2,0.07
3,0.52
4,0.19
5,0.34
6,2.37
7,2.74
8,30.76
9,0.01
10,0.05
11,0.06
12,0.03
13,0.01
14,0.26
15,0.09
16,0.23
17,0.11
18,0.01
19,0.07
20,0.08
21,0.17
22,0.83
23,0.17
24,3.95
25,0.15
26,0.1
27,0.28
28,16.48
29,0.21
30,0.12
31,0.58
32,29.09
33,3.32
34,0.39
35,0.36
36,0.07
37,0.05
38,0.24
39,0.2
40,0.06
41,0.45
42,0.1
43,0.11
44,0.06
45,0.01
46,0.06
47,0.0
48,0.03
49,0.05
50,0.01
51,0.01
52,0.0
53,0.04
54,0.0
55,0.0
56,0.62
57,0.03
58,0.05
59,0.07
60,0.2
61,0.09
62,0.01
63,0.01
64,0.01
65,0.02
66,0.03
67,0.07
68,0.06
69,0.06
70,0.03
71,0.04
72,0.01
73,0.02
74,0.0
75,0.01
76,2.24
77,0.38
