Date,Count
2019-01-01,49
2019-01-02,92
2019-01-03,96
2019-01-04,105
2019-01-05,66
2019-01-06,62
2019-01-07,105
2019-01-08,79
2019-01-09,116
2019-01-10,119
2019-01-11,117
2019-01-12,76
2019-01-13,64
2019-01-14,89
2019-01-15,118
2019-01-16,99
2019-01-17,102
2019-01-18,103
2019-01-19,90
2019-01-20,53
2019-01-21,67
2019-01-22,96
2019-01-23,97
2019-01-24,108
2019-01-25,90
2019-01-26,56
2019-01-27,39
2019-01-28,74
2019-01-29,86
2019-01-30,28
2019-01-31,32
2019-02-01,87
2019-02-02,58
2019-02-03,41
2019-02-04,86
2019-02-05,112
2019-02-06,84
2019-02-07,104
2019-02-08,89
2019-02-09,59
2019-02-10,50
2019-02-11,77
2019-02-12,96
2019-02-13,123
2019-02-14,106
2019-02-15,113
2019-02-16,88
2019-02-17,59
2019-02-18,69
2019-02-19,97
2019-02-20,116
2019-02-21,138
2019-02-22,133
2019-02-23,104
2019-02-24,48
2019-02-25,89
2019-02-26,82
2019-02-27,116
2019-02-28,103
2019-03-01,120
2019-03-02,62
2019-03-03,72
2019-03-04,130
2019-03-05,128
2019-03-06,97
2019-03-07,137
2019-03-08,125
2019-03-09,98
2019-03-10,56
2019-03-11,127
2019-03-12,120
2019-03-13,100
2019-03-14,129
2019-03-15,142
2019-03-16,168
2019-03-17,63
2019-03-18,81
2019-03-19,106
2019-03-20,116
2019-03-21,121
2019-03-22,139
2019-03-23,106
2019-03-24,67
2019-03-25,99
2019-03-26,121
2019-03-27,84
2019-03-28,125
2019-03-29,119
2019-03-30,73
2019-03-31,78
2019-04-01,100
2019-04-02,100
2019-04-03,115
2019-04-04,142
2019-04-05,119
2019-04-06,85
2019-04-07,21
2019-04-08,36
2019-04-09,40
2019-04-10,50
2019-04-11,57
2019-04-12,40
2019-04-13,22
2019-04-14,46
2019-04-15,106
2019-04-16,113
2019-04-17,104
2019-04-18,140
2019-04-19,119
2019-04-20,89
2019-04-21,53
2019-04-22,108
2019-04-23,134
2019-04-24,110
2019-04-25,119
2019-04-26,124
2019-04-27,99
2019-04-28,71
2019-04-29,105
2019-04-30,110
2019-05-01,103
2019-05-02,140
2019-05-03,126
2019-05-04,101
2019-05-05,77
2019-05-06,137
2019-05-07,137
2019-05-08,123
2019-05-09,111
2019-05-10,111
2019-05-11,85
2019-05-12,65
2019-05-13,109
2019-05-14,101
2019-05-15,108
2019-05-16,115
2019-05-17,144
2019-05-18,96
2019-05-19,58
2019-05-20,102
2019-05-21,100
2019-05-22,72
2019-05-23,123
2019-05-24,112
2019-05-25,84
2019-05-26,65
2019-05-27,49
2019-05-28,102
2019-05-29,96
2019-05-30,94
2019-05-31,122
2019-06-01,100
2019-06-02,99
2019-06-03,84
2019-06-04,101
2019-06-05,104
2019-06-06,102
2019-06-07,129
2019-06-08,68
2019-06-09,53
2019-06-10,112
2019-06-11,115
2019-06-12,131
2019-06-13,114
2019-06-14,113
2019-06-15,88
2019-06-16,71
2019-06-17,78
2019-06-18,88
2019-06-19,92
2019-06-20,125
2019-06-21,98
2019-06-22,90
2019-06-23,63
2019-06-24,79
2019-06-25,97
2019-06-26,119
2019-06-27,114
2019-06-28,103
2019-06-29,71
2019-06-30,51
2019-07-01,64
2019-07-02,95
2019-07-03,74
2019-07-04,55
2019-07-05,82
2019-07-06,49
2019-07-07,33
2019-07-08,78
2019-07-09,68
2019-07-10,74
2019-07-11,76
2019-07-12,85
2019-07-13,59
2019-07-14,37
2019-07-15,73
2019-07-16,77
2019-07-17,103
2019-07-18,69
2019-07-19,78
2019-07-20,79
2019-07-21,45
2019-07-22,76
2019-07-23,51
2019-07-24,69
2019-07-25,68
2019-07-26,60
2019-07-27,86
2019-07-28,33
2019-07-29,66
2019-07-30,63
2019-07-31,71
2019-08-01,55
2019-08-02,66
2019-08-03,66
2019-08-04,39
2019-08-05,64
2019-08-06,41
2019-08-07,36
2019-08-08,51
2019-08-09,26
2019-08-10,33
2019-08-11,19
2019-08-12,28
2019-08-13,45
2019-08-14,37
2019-08-15,49
2019-08-16,44
2019-08-17,32
2019-08-18,19
2019-08-19,19
2019-08-20,47
2019-08-21,45
2019-08-22,39
2019-08-23,40
2019-08-24,39
2019-08-25,8
2019-08-26,28
2019-08-27,47
2019-08-28,24
2019-08-29,29
2019-08-30,21
2019-08-31,25
2019-09-01,16
2019-09-02,12
2019-09-03,37
2019-09-04,35
2019-09-05,42
2019-09-06,29
2019-09-07,31
2019-09-08,5
2019-09-09,27
2019-09-10,37
2019-09-11,45
2019-09-12,22
2019-09-13,34
2019-09-14,24
2019-09-15,23
2019-09-16,27
2019-09-17,34
2019-09-18,33
2019-09-19,39
2019-09-20,37
2019-09-21,31
2019-09-22,13
2019-09-23,40
2019-09-24,25
2019-09-25,35
2019-09-26,37
2019-09-27,37
2019-09-28,19
2019-09-29,2
2019-09-30,21
2019-10-01,27
2019-10-02,32
2019-10-03,30
2019-10-04,35
2019-10-05,17
2019-10-06,21
2019-10-07,26
2019-10-08,30
2019-10-09,30
2019-10-10,41
2019-10-11,27
2019-10-12,31
2019-10-13,11
2019-10-14,32
2019-10-15,20
2019-10-16,27
2019-10-17,27
2019-10-18,15
2019-10-19,20
2019-10-20,11
2019-10-21,19
2019-10-22,24
2019-10-23,28
2019-10-24,13
2019-10-25,21
2019-10-26,30
2019-10-27,17
2019-10-28,24
2019-10-29,20
2019-10-30,21
2019-10-31,16
2019-11-01,24
2019-11-02,17
2019-11-03,8
2019-11-04,18
2019-11-05,18
2019-11-06,19
2019-11-07,26
2019-11-08,30
2019-11-09,15
2019-11-10,13
2019-11-11,24
2019-11-12,30
2019-11-13,33
2019-11-14,22
2019-11-15,9
2019-11-16,12
2019-11-17,10
2019-11-18,19
2019-11-19,25
2019-11-20,23
2019-11-21,24
2019-11-22,12
2019-11-23,22
2019-11-24,5
2019-11-25,9
2019-11-26,15
2019-11-27,19
2019-11-28,8
2019-11-29,12
2019-11-30,26
2019-12-01,9
2019-12-02,21
2019-12-03,23
2019-12-04,18
