Date,Count
2019-01-01,62
2019-01-02,41
2019-01-03,46
2019-01-04,49
2019-01-05,38
2019-01-06,47
2019-01-07,56
2019-01-08,45
2019-01-09,46
2019-01-10,48
2019-01-11,44
2019-01-12,44
2019-01-13,35
2019-01-14,45
2019-01-15,46
2019-01-16,45
2019-01-17,51
2019-01-18,49
2019-01-19,42
2019-01-20,42
2019-01-21,49
2019-01-22,47
2019-01-23,39
2019-01-24,54
2019-01-25,55
2019-01-26,63
2019-01-27,47
2019-01-28,39
2019-01-29,46
2019-01-30,27
2019-01-31,38
2019-02-01,54
2019-02-02,35
2019-02-03,50
2019-02-04,40
2019-02-05,55
2019-02-06,44
2019-02-07,54
2019-02-08,57
2019-02-09,41
2019-02-10,48
2019-02-11,51
2019-02-12,57
2019-02-13,52
2019-02-14,33
2019-02-15,53
2019-02-16,41
2019-02-17,42
2019-02-18,51
2019-02-19,53
2019-02-20,43
2019-02-21,44
2019-02-22,51
2019-02-23,51
2019-02-24,34
2019-02-25,53
2019-02-26,43
2019-02-27,42
2019-02-28,51
2019-03-01,58
2019-03-02,45
2019-03-03,53
2019-03-04,43
2019-03-05,49
2019-03-06,53
2019-03-07,58
2019-03-08,64
2019-03-09,57
2019-03-10,54
2019-03-11,56
2019-03-12,58
2019-03-13,45
2019-03-14,55
2019-03-15,61
2019-03-16,55
2019-03-17,41
2019-03-18,51
2019-03-19,69
2019-03-20,44
2019-03-21,53
2019-03-22,56
2019-03-23,52
2019-03-24,50
2019-03-25,34
2019-03-26,43
2019-03-27,68
2019-03-28,34
2019-03-29,48
2019-03-30,37
2019-03-31,48
2019-04-01,65
2019-04-02,54
2019-04-03,68
2019-04-04,54
2019-04-05,57
2019-04-06,49
2019-04-07,10
2019-04-08,18
2019-04-09,15
2019-04-10,11
2019-04-11,8
2019-04-12,13
2019-04-13,8
2019-04-14,41
2019-04-15,50
2019-04-16,42
2019-04-17,24
2019-04-18,40
2019-04-19,47
2019-04-20,46
2019-04-21,51
2019-04-22,47
2019-04-23,62
2019-04-24,51
2019-04-25,48
2019-04-26,45
2019-04-27,39
2019-04-28,44
2019-04-29,53
2019-04-30,64
2019-05-01,59
2019-05-02,41
2019-05-03,58
2019-05-04,52
2019-05-05,43
2019-05-06,53
2019-05-07,53
2019-05-08,45
2019-05-09,51
2019-05-10,53
2019-05-11,56
2019-05-12,38
2019-05-13,50
2019-05-14,52
2019-05-15,53
2019-05-16,44
2019-05-17,55
2019-05-18,38
2019-05-19,38
2019-05-20,43
2019-05-21,57
2019-05-22,32
2019-05-23,54
2019-05-24,55
2019-05-25,44
2019-05-26,55
2019-05-27,38
2019-05-28,51
2019-05-29,42
2019-05-30,38
2019-05-31,44
2019-06-01,48
2019-06-02,50
2019-06-03,36
2019-06-04,36
2019-06-05,60
2019-06-06,39
2019-06-07,55
2019-06-08,45
2019-06-09,54
2019-06-10,56
2019-06-11,44
2019-06-12,61
2019-06-13,44
2019-06-14,61
2019-06-15,52
2019-06-16,52
2019-06-17,53
2019-06-18,53
2019-06-19,50
2019-06-20,53
2019-06-21,60
2019-06-22,62
2019-06-23,46
2019-06-24,38
2019-06-25,54
2019-06-26,58
2019-06-27,49
2019-06-28,42
2019-06-29,29
2019-06-30,59
2019-07-01,46
2019-07-02,39
2019-07-03,34
2019-07-04,37
2019-07-05,55
2019-07-06,38
2019-07-07,42
2019-07-08,45
2019-07-09,52
2019-07-10,39
2019-07-11,44
2019-07-12,55
2019-07-13,59
2019-07-14,60
2019-07-15,59
2019-07-16,52
2019-07-17,49
2019-07-18,40
2019-07-19,56
2019-07-20,49
2019-07-21,47
2019-07-22,58
2019-07-23,41
2019-07-24,50
2019-07-25,30
2019-07-26,53
2019-07-27,47
2019-07-28,50
2019-07-29,47
2019-07-30,38
2019-07-31,43
2019-08-01,50
2019-08-02,42
2019-08-03,41
2019-08-04,54
2019-08-05,43
2019-08-06,42
2019-08-07,42
2019-08-08,36
2019-08-09,44
2019-08-10,44
2019-08-11,38
2019-08-12,57
2019-08-13,41
2019-08-14,54
2019-08-15,36
2019-08-16,51
2019-08-17,41
2019-08-18,42
2019-08-19,39
2019-08-20,42
2019-08-21,52
2019-08-22,40
2019-08-23,61
2019-08-24,48
2019-08-25,50
2019-08-26,42
2019-08-27,55
2019-08-28,44
2019-08-29,60
2019-08-30,42
2019-08-31,44
2019-09-01,46
2019-09-02,39
2019-09-03,54
2019-09-04,46
2019-09-05,39
2019-09-06,46
2019-09-07,37
2019-09-08,51
2019-09-09,47
2019-09-10,50
2019-09-11,42
2019-09-12,40
2019-09-13,57
2019-09-14,52
2019-09-15,41
2019-09-16,46
2019-09-17,51
2019-09-18,52
2019-09-19,40
2019-09-20,41
2019-09-21,50
2019-09-22,45
2019-09-23,45
2019-09-24,38
2019-09-25,32
2019-09-26,37
2019-09-27,50
2019-09-28,41
2019-09-29,64
2019-09-30,46
2019-10-01,43
2019-10-02,58
2019-10-03,73
2019-10-04,62
2019-10-05,39
2019-10-06,43
2019-10-07,43
2019-10-08,38
2019-10-09,40
2019-10-10,41
2019-10-11,37
2019-10-12,42
2019-10-13,42
2019-10-14,45
2019-10-15,39
2019-10-16,36
2019-10-17,46
2019-10-18,38
2019-10-19,45
2019-10-20,46
2019-10-21,52
2019-10-22,53
2019-10-23,83
2019-10-24,34
2019-10-25,34
2019-10-26,39
2019-10-27,49
2019-10-28,51
2019-10-29,42
2019-10-30,50
2019-10-31,43
2019-11-01,64
2019-11-02,40
2019-11-03,51
2019-11-04,51
2019-11-05,47
2019-11-06,54
2019-11-07,45
2019-11-08,47
2019-11-09,36
2019-11-10,56
2019-11-11,46
2019-11-12,59
2019-11-13,53
2019-11-14,42
2019-11-15,43
2019-11-16,48
2019-11-17,55
2019-11-18,42
2019-11-19,50
2019-11-20,50
2019-11-21,41
2019-11-22,56
2019-11-23,38
2019-11-24,30
2019-11-25,38
2019-11-26,54
2019-11-27,44
2019-11-28,42
2019-11-29,27
2019-11-30,64
2019-12-01,51
2019-12-02,51
2019-12-03,50
2019-12-04,50
2019-12-05,58
2019-12-06,51
2019-12-07,42
2019-12-08,43
2019-12-09,57
2019-12-10,47
2019-12-11,51
2019-12-12,41
2019-12-13,53
2019-12-14,47
2019-12-15,51
2019-12-16,42
2019-12-17,48
2019-12-18,56
2019-12-19,38
2019-12-20,58
2019-12-21,54
2019-12-22,43
2019-12-23,46
2019-12-24,40
2019-12-25,27
2019-12-26,37
2019-12-27,41
2019-12-28,35
2019-12-29,39
2019-12-30,44
2019-12-31,52
