pickupArea,Percentage
1,1.94
2,0.44
3,1.62
4,0.29
5,0.18
6,2.92
7,0.35
8,11.9
9,0.03
10,0.06
11,0.06
12,0.0
13,0.15
14,0.06
15,0.09
16,0.09
17,0.09
18,0.06
19,0.06
20,0.0
21,0.03
22,0.97
23,2.33
24,0.53
25,2.06
26,0.18
27,1.74
28,14.58
29,1.12
30,0.27
31,0.29
32,10.25
33,3.01
34,0.59
35,1.53
36,0.53
37,0.24
38,1.06
39,0.44
40,0.47
41,1.8
42,0.77
43,1.47
44,2.27
45,0.15
46,0.29
47,2.68
48,0.68
49,0.62
50,0.38
51,0.8
52,0.21
53,1.21
54,0.29
55,0.03
56,0.71
57,0.15
58,0.06
59,0.06
60,0.09
61,0.41
62,0.18
63,0.06
64,0.24
65,0.18
66,0.85
67,0.41
68,0.77
69,0.94
70,1.59
71,4.42
72,0.62
73,1.27
74,0.12
75,0.56
76,1.53
77,1.44
78,7.1
