pickupArea,Percentage
1,0.29
2,0.29
3,0.15
4,0.0
5,0.59
6,5.01
7,3.98
8,15.61
9,0.0
10,0.15
11,0.59
12,0.15
13,0.0
14,2.06
15,0.59
16,1.62
17,0.15
18,0.0
19,1.03
20,0.0
21,1.18
22,3.98
23,0.74
24,3.09
25,1.03
26,0.15
27,0.0
28,9.28
29,0.29
30,0.0
31,0.15
32,7.36
33,1.62
34,0.29
35,0.44
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.15
42,0.15
43,0.0
44,0.15
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,8.98
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,26.66
77,0.59
78,1.47
