Date,Count
2019-01-03,4
2019-01-04,7
2019-01-05,1
2019-01-06,1
2019-01-07,14
2019-01-08,1
2019-01-10,1
2019-01-11,10
2019-01-12,1
2019-01-14,1
2019-01-15,8
2019-01-18,6
2019-01-22,8
2019-01-24,1
2019-01-25,3
2019-01-26,1
2019-01-27,1
2019-01-29,1
2019-02-02,5
2019-02-04,4
2019-02-09,3
2019-02-10,1
2019-02-13,2
2019-02-14,2
2019-02-15,9
2019-02-17,1
2019-02-20,14
2019-02-21,16
2019-02-22,19
2019-02-27,2
2019-02-28,1
2019-03-02,3
2019-03-04,9
2019-03-05,7
2019-03-07,11
2019-03-10,1
2019-03-11,7
2019-03-12,2
2019-03-13,15
2019-03-16,1
2019-03-18,10
2019-03-20,10
2019-03-21,21
2019-03-22,2
2019-03-25,6
2019-03-26,1
2019-03-27,8
2019-03-29,3
2019-03-30,8
2019-03-31,5
2019-04-03,1
2019-04-04,2
2019-04-05,10
2019-04-06,1
2019-04-12,1
2019-04-15,1
2019-04-16,9
2019-04-17,1
2019-04-18,8
2019-04-20,1
2019-04-21,1
2019-04-22,2
2019-04-23,10
2019-05-03,1
2019-05-04,2
2019-05-05,1
2019-05-09,1
2019-05-11,1
2019-05-15,1
2019-05-16,1
2019-05-17,2
2019-05-21,2
2019-05-22,3
2019-05-23,1
2019-05-24,1
2019-06-05,1
2019-06-13,1
2019-06-14,1
2019-06-15,3
2019-06-18,2
2019-06-27,1
2019-07-10,2
2019-07-12,1
2019-07-15,1
2019-07-16,1
2019-07-22,1
2019-07-25,1
2019-08-02,1
2019-08-05,1
2019-08-12,1
2019-08-24,1
2019-08-29,1
2019-09-04,1
2019-09-07,2
2019-09-14,1
2019-09-16,1
2019-09-20,2
2019-09-25,1
2019-10-11,1
2019-10-15,1
2019-10-16,1
2019-10-22,1
2019-10-24,1
2019-10-31,1
2019-11-01,1
2019-11-05,1
2019-11-07,1
2019-11-08,1
2019-11-12,1
2019-11-16,1
2019-11-20,1
2019-11-22,1
2019-11-23,1
2019-11-24,1
2019-11-27,1
2019-12-02,1
2019-12-10,1
2019-12-16,1
2019-12-17,1
2019-12-18,1
2019-12-22,1
2019-12-29,1
