Date,Count
2019-01-01,2
2019-01-02,1
2019-01-03,3
2019-01-04,4
2019-01-05,5
2019-01-06,3
2019-01-07,2
2019-01-08,1
2019-01-10,4
2019-01-11,3
2019-01-12,1
2019-01-14,4
2019-01-15,2
2019-01-16,3
2019-01-17,4
2019-01-18,2
2019-01-19,1
2019-01-20,1
2019-01-21,3
2019-01-22,1
2019-01-23,3
2019-01-24,1
2019-01-25,3
2019-01-26,3
2019-01-27,2
2019-01-28,1
2019-01-29,2
2019-01-31,1
2019-02-01,3
2019-02-02,1
2019-02-03,3
2019-02-04,3
2019-02-05,1
2019-02-06,1
2019-02-08,3
2019-02-09,1
2019-02-10,1
2019-02-11,3
2019-02-13,1
2019-02-14,1
2019-02-15,4
2019-02-16,3
2019-02-17,2
2019-02-18,2
2019-02-19,6
2019-02-20,2
2019-02-22,6
2019-02-23,4
2019-02-24,4
2019-02-25,4
2019-02-26,1
2019-02-27,3
2019-02-28,2
2019-03-01,3
2019-03-02,2
2019-03-03,2
2019-03-04,2
2019-03-05,1
2019-03-06,5
2019-03-08,1
2019-03-09,1
2019-03-10,1
2019-03-11,1
2019-03-12,5
2019-03-13,5
2019-03-14,1
2019-03-15,4
2019-03-17,3
2019-03-18,1
2019-03-19,1
2019-03-20,1
2019-03-22,2
2019-03-25,1
2019-03-26,4
2019-03-27,1
2019-03-28,3
2019-03-29,5
2019-03-30,4
2019-03-31,4
2019-04-01,3
2019-04-02,1
2019-04-03,4
2019-04-06,1
2019-04-07,3
2019-04-08,3
2019-04-09,1
2019-04-10,2
2019-04-11,4
2019-04-12,2
2019-04-13,1
2019-04-14,3
2019-04-16,1
2019-04-17,4
2019-04-18,3
2019-04-19,4
2019-04-20,1
2019-04-21,3
2019-04-22,4
2019-04-23,1
2019-04-24,4
2019-04-25,1
2019-04-26,2
2019-04-27,2
2019-04-28,2
2019-04-29,3
2019-04-30,1
2019-05-01,2
2019-05-02,3
2019-05-03,3
2019-05-04,2
2019-05-05,3
2019-05-06,1
2019-05-07,2
2019-05-08,4
2019-05-09,4
2019-05-11,3
2019-05-12,1
2019-05-13,8
2019-05-14,4
2019-05-15,2
2019-05-16,3
2019-05-17,5
2019-05-18,2
2019-05-19,5
2019-05-20,3
2019-05-21,5
2019-05-22,1
2019-05-23,2
2019-05-24,6
2019-05-26,2
2019-05-27,1
2019-05-30,2
2019-05-31,4
2019-06-01,6
2019-06-03,1
2019-06-04,2
2019-06-05,5
2019-06-06,1
2019-06-07,5
2019-06-09,1
2019-06-11,3
2019-06-13,4
2019-06-14,3
2019-06-15,7
2019-06-16,3
2019-06-17,2
2019-06-18,3
2019-06-20,1
2019-06-21,4
2019-06-22,1
2019-06-23,5
2019-06-24,2
2019-06-25,4
2019-06-26,2
2019-06-27,1
2019-06-28,3
2019-06-29,1
2019-06-30,1
2019-07-01,1
2019-07-02,3
2019-07-03,2
2019-07-04,2
2019-07-05,1
2019-07-06,4
2019-07-07,2
2019-07-08,4
2019-07-09,1
2019-07-10,1
2019-07-11,2
2019-07-12,2
2019-07-13,3
2019-07-15,1
2019-07-16,3
2019-07-17,2
2019-07-19,2
2019-07-20,1
2019-07-21,2
2019-07-22,2
2019-07-23,1
2019-07-24,1
2019-07-25,3
2019-07-26,1
2019-07-27,2
2019-07-28,1
2019-07-30,2
2019-07-31,2
2019-08-01,6
2019-08-02,1
2019-08-03,2
2019-08-04,5
2019-08-06,1
2019-08-07,1
2019-08-09,1
2019-08-10,1
2019-08-11,1
2019-08-12,4
2019-08-14,1
2019-08-15,2
2019-08-16,2
2019-08-18,3
2019-08-19,4
2019-08-20,4
2019-08-22,4
2019-08-24,2
2019-08-25,1
2019-08-26,1
2019-08-27,2
2019-08-29,1
2019-08-30,1
2019-09-03,2
2019-09-04,1
2019-09-05,1
2019-09-06,2
2019-09-09,2
2019-09-10,1
2019-09-11,3
2019-09-13,3
2019-09-14,3
2019-09-16,1
2019-09-17,2
2019-09-18,1
2019-09-19,3
2019-09-20,2
2019-09-21,1
2019-09-22,2
2019-09-23,4
2019-09-24,5
2019-09-25,3
2019-09-26,1
2019-09-27,4
2019-09-29,1
2019-09-30,1
2019-10-02,4
2019-10-03,1
2019-10-05,1
2019-10-06,2
2019-10-07,1
2019-10-09,2
2019-10-10,2
2019-10-11,4
2019-10-12,2
2019-10-13,5
2019-10-14,5
2019-10-15,1
2019-10-16,2
2019-10-18,4
2019-10-20,2
2019-10-21,3
2019-10-24,1
2019-10-25,3
2019-10-26,1
2019-10-27,1
2019-10-28,5
2019-10-30,1
2019-10-31,2
2019-11-02,1
2019-11-03,1
2019-11-04,3
2019-11-06,1
2019-11-07,1
2019-11-08,3
2019-11-09,2
2019-11-11,1
2019-11-12,1
2019-11-14,3
2019-11-15,1
2019-11-17,3
2019-11-19,3
2019-11-20,2
2019-11-21,1
2019-11-22,6
2019-11-25,2
2019-11-26,1
2019-11-27,1
2019-11-29,2
2019-11-30,3
2019-12-01,3
2019-12-02,1
2019-12-03,1
2019-12-04,2
2019-12-05,1
2019-12-06,2
2019-12-07,1
2019-12-09,2
2019-12-10,1
2019-12-13,2
2019-12-14,1
2019-12-15,1
2019-12-16,1
2019-12-17,2
2019-12-18,4
2019-12-19,2
2019-12-20,1
2019-12-21,1
2019-12-22,1
2019-12-23,2
2019-12-24,2
2019-12-25,2
2019-12-26,1
2019-12-27,1
2019-12-28,2
2019-12-29,2
2019-12-30,2
2019-12-31,1
