Date,Count
2019-01-01,12
2019-01-02,15
2019-01-03,19
2019-01-04,25
2019-01-05,15
2019-01-06,14
2019-01-07,18
2019-01-08,12
2019-01-09,13
2019-01-10,17
2019-01-11,16
2019-01-12,10
2019-01-13,13
2019-01-14,16
2019-01-15,18
2019-01-16,13
2019-01-17,16
2019-01-18,14
2019-01-19,7
2019-01-20,6
2019-01-21,7
2019-01-22,11
2019-01-23,11
2019-01-24,18
2019-01-25,20
2019-01-26,10
2019-01-27,13
2019-01-28,12
2019-01-29,9
2019-01-30,4
2019-01-31,5
2019-02-01,28
2019-02-02,17
2019-02-03,23
2019-02-04,16
2019-02-05,13
2019-02-06,13
2019-02-07,16
2019-02-08,18
2019-02-09,11
2019-02-10,9
2019-02-11,17
2019-02-12,13
2019-02-13,12
2019-02-14,19
2019-02-15,22
2019-02-16,6
2019-02-17,11
2019-02-18,12
2019-02-19,24
2019-02-20,13
2019-02-21,17
2019-02-22,22
2019-02-23,11
2019-02-24,9
2019-02-25,10
2019-02-26,25
2019-02-27,26
2019-02-28,20
2019-03-01,19
2019-03-02,8
2019-03-03,17
2019-03-04,14
2019-03-05,15
2019-03-06,17
2019-03-07,15
2019-03-08,18
2019-03-09,10
2019-03-10,16
2019-03-11,18
2019-03-12,11
2019-03-13,18
2019-03-14,16
2019-03-15,28
2019-03-16,18
2019-03-17,16
2019-03-18,15
2019-03-19,21
2019-03-20,21
2019-03-21,19
2019-03-22,19
2019-03-23,11
2019-03-24,10
2019-03-25,14
2019-03-26,14
2019-03-27,11
2019-03-28,17
2019-03-29,21
2019-03-30,16
2019-03-31,23
2019-04-01,26
2019-04-02,22
2019-04-03,22
2019-04-04,25
2019-04-05,18
2019-04-06,6
2019-04-07,5
2019-04-08,4
2019-04-09,4
2019-04-10,3
2019-04-11,3
2019-04-12,4
2019-04-13,4
2019-04-14,20
2019-04-15,23
2019-04-16,14
2019-04-17,14
2019-04-18,11
2019-04-19,21
2019-04-20,15
2019-04-21,14
2019-04-22,14
2019-04-23,15
2019-04-24,17
2019-04-25,21
2019-04-26,29
2019-04-27,14
2019-04-28,16
2019-04-29,21
2019-04-30,19
2019-05-01,18
2019-05-02,13
2019-05-03,25
2019-05-04,21
2019-05-05,14
2019-05-06,18
2019-05-07,18
2019-05-08,16
2019-05-09,25
2019-05-10,20
2019-05-11,18
2019-05-12,19
2019-05-13,17
2019-05-14,19
2019-05-15,19
2019-05-16,18
2019-05-17,16
2019-05-18,20
2019-05-19,10
2019-05-20,9
2019-05-21,17
2019-05-22,16
2019-05-23,20
2019-05-24,18
2019-05-25,10
2019-05-26,13
2019-05-27,7
2019-05-28,17
2019-05-29,21
2019-05-30,25
2019-05-31,15
2019-06-01,13
2019-06-02,16
2019-06-03,27
2019-06-04,21
2019-06-05,20
2019-06-06,19
2019-06-07,18
2019-06-08,9
2019-06-09,10
2019-06-10,14
2019-06-11,19
2019-06-12,22
2019-06-13,19
2019-06-14,28
2019-06-15,16
2019-06-16,6
2019-06-17,24
2019-06-18,24
2019-06-19,27
2019-06-20,16
2019-06-21,23
2019-06-22,11
2019-06-23,16
2019-06-24,23
2019-06-25,22
2019-06-26,27
2019-06-27,22
2019-06-28,31
2019-06-29,20
2019-06-30,21
2019-07-01,27
2019-07-02,28
2019-07-03,29
2019-07-04,8
2019-07-05,16
2019-07-06,22
2019-07-07,22
2019-07-08,22
2019-07-09,24
2019-07-10,24
2019-07-11,21
2019-07-12,23
2019-07-13,20
2019-07-14,11
2019-07-15,24
2019-07-16,19
2019-07-17,31
2019-07-18,21
2019-07-19,21
2019-07-20,17
2019-07-21,7
2019-07-22,22
2019-07-23,25
2019-07-24,19
2019-07-25,15
2019-07-26,21
2019-07-27,23
2019-07-28,21
2019-07-29,25
2019-07-30,14
2019-07-31,16
2019-08-01,34
2019-08-02,29
2019-08-03,12
2019-08-04,22
2019-08-05,25
2019-08-06,17
2019-08-07,18
2019-08-08,12
2019-08-09,24
2019-08-10,14
2019-08-11,19
2019-08-12,11
2019-08-13,29
2019-08-14,20
2019-08-15,17
2019-08-16,24
2019-08-17,11
2019-08-18,17
2019-08-19,24
2019-08-20,22
2019-08-21,20
2019-08-22,21
2019-08-23,25
2019-08-24,12
2019-08-25,20
2019-08-26,20
2019-08-27,27
2019-08-28,31
2019-08-29,26
2019-08-30,23
2019-08-31,15
2019-09-01,23
2019-09-02,19
2019-09-03,21
2019-09-04,24
2019-09-05,25
2019-09-06,39
2019-09-07,24
2019-09-08,19
2019-09-09,34
2019-09-10,34
2019-09-11,29
2019-09-12,23
2019-09-13,26
2019-09-14,23
2019-09-15,11
2019-09-16,33
2019-09-17,29
2019-09-18,40
2019-09-19,19
2019-09-20,20
2019-09-21,14
2019-09-22,18
2019-09-23,29
2019-09-24,31
2019-09-25,29
2019-09-26,17
2019-09-27,26
2019-09-28,14
2019-09-29,53
2019-09-30,43
2019-10-01,34
2019-10-02,26
2019-10-03,22
2019-10-04,22
2019-10-05,15
2019-10-06,22
2019-10-07,21
2019-10-08,30
2019-10-09,28
2019-10-10,33
2019-10-11,26
2019-10-12,12
2019-10-13,18
2019-10-14,25
2019-10-15,18
2019-10-16,26
2019-10-17,33
2019-10-18,19
2019-10-19,14
2019-10-20,21
2019-10-21,25
2019-10-22,27
2019-10-23,25
2019-10-24,34
2019-10-25,35
2019-10-26,14
2019-10-27,13
2019-10-28,21
2019-10-29,29
2019-10-30,22
2019-10-31,30
2019-11-01,27
2019-11-02,30
2019-11-03,19
2019-11-04,31
2019-11-05,29
2019-11-06,32
2019-11-07,28
2019-11-08,26
2019-11-09,10
2019-11-10,17
2019-11-11,20
2019-11-12,22
2019-11-13,29
2019-11-14,24
2019-11-15,26
2019-11-16,11
2019-11-17,15
2019-11-18,30
2019-11-19,21
2019-11-20,28
2019-11-21,17
2019-11-22,25
2019-11-23,17
