dropArea,Percentage
1,0.91
2,0.19
3,1.16
4,0.26
5,0.09
6,0.95
7,1.67
8,9.94
9,0.01
10,0.24
11,0.11
12,0.05
13,0.08
14,0.03
15,0.22
16,0.22
17,0.2
18,0.0
19,0.05
20,0.01
21,0.19
22,0.21
23,0.41
24,0.68
25,1.3
26,0.79
27,1.14
28,12.56
29,0.8
30,1.27
31,1.44
32,9.62
33,4.04
34,1.07
35,2.94
36,1.1
37,0.25
38,2.25
39,2.04
40,0.68
41,4.78
42,3.37
43,9.71
44,2.48
45,0.71
46,1.43
47,0.14
48,1.09
49,1.56
50,0.67
51,0.86
52,0.06
53,0.43
54,0.25
55,0.21
56,1.1
57,0.1
58,0.03
59,0.04
60,0.22
61,0.36
62,0.02
63,0.07
64,0.1
65,0.22
66,0.37
67,0.51
68,0.87
69,1.99
70,1.4
71,0.73
72,0.23
73,0.58
74,0.08
75,0.61
76,0.87
77,0.58
