dropArea,Percentage
1,0.16
2,0.08
3,0.52
4,0.12
5,0.04
6,0.92
7,0.48
8,3.23
9,0.04
10,0.08
11,0.04
12,0.0
13,0.08
14,0.0
15,0.24
16,0.12
17,0.16
18,0.0
19,0.24
20,0.04
21,0.08
22,0.24
23,0.76
24,0.4
25,0.76
26,0.52
27,0.88
28,8.88
29,1.12
30,1.59
31,1.79
32,8.12
33,3.86
34,2.83
35,2.07
36,0.48
37,1.47
38,0.52
39,0.68
40,0.36
41,2.15
42,1.51
43,2.47
44,2.63
45,1.19
46,1.87
47,0.2
48,5.69
49,4.34
50,1.79
51,9.04
52,0.4
53,0.4
54,0.08
55,0.24
56,0.84
57,0.04
58,0.0
59,0.16
60,0.52
61,0.4
62,0.08
63,0.12
64,0.12
65,0.24
66,0.8
67,1.39
68,1.12
69,2.67
70,2.19
71,1.12
72,0.56
73,0.88
74,0.04
75,0.88
76,0.6
77,0.56
78,6.73
