Date,Count
2019-01-01,10
2019-01-02,9
2019-01-03,13
2019-01-04,13
2019-01-05,7
2019-01-06,8
2019-01-07,17
2019-01-08,11
2019-01-09,11
2019-01-10,10
2019-01-11,7
2019-01-12,6
2019-01-13,7
2019-01-14,12
2019-01-15,4
2019-01-16,14
2019-01-17,10
2019-01-18,12
2019-01-19,7
2019-01-20,5
2019-01-21,11
2019-01-22,6
2019-01-23,13
2019-01-24,6
2019-01-25,15
2019-01-26,11
2019-01-27,8
2019-01-28,10
2019-01-29,9
2019-01-31,7
2019-02-01,13
2019-02-02,6
2019-02-03,13
2019-02-04,22
2019-02-05,16
2019-02-06,16
2019-02-07,12
2019-02-08,18
2019-02-09,15
2019-02-10,13
2019-02-11,17
2019-02-12,11
2019-02-13,9
2019-02-14,13
2019-02-15,13
2019-02-16,10
2019-02-17,15
2019-02-18,7
2019-02-19,11
2019-02-20,18
2019-02-21,16
2019-02-22,16
2019-02-23,14
2019-02-24,11
2019-02-25,12
2019-02-26,6
2019-02-27,14
2019-02-28,11
2019-03-01,15
2019-03-02,13
2019-03-03,11
2019-03-04,19
2019-03-05,14
2019-03-06,14
2019-03-07,18
2019-03-08,9
2019-03-09,14
2019-03-10,20
2019-03-11,19
2019-03-12,10
2019-03-13,12
2019-03-14,10
2019-03-15,6
2019-03-16,14
2019-03-17,17
2019-03-18,17
2019-03-19,14
2019-03-20,14
2019-03-21,10
2019-03-22,14
2019-03-23,13
2019-03-24,9
2019-03-25,15
2019-03-26,12
2019-03-27,9
2019-03-28,12
2019-03-29,12
2019-03-30,6
2019-03-31,11
2019-04-01,20
2019-04-02,11
2019-04-03,15
2019-04-04,14
2019-04-05,20
2019-04-06,6
2019-04-07,4
2019-04-09,5
2019-04-10,4
2019-04-11,2
2019-04-12,4
2019-04-13,3
2019-04-14,12
2019-04-15,8
2019-04-16,16
2019-04-17,12
2019-04-18,11
2019-04-19,12
2019-04-20,14
2019-04-21,23
2019-04-22,8
2019-04-23,14
2019-04-24,7
2019-04-25,12
2019-04-26,18
2019-04-27,9
2019-04-28,8
2019-04-29,10
2019-04-30,18
2019-05-01,12
2019-05-02,11
2019-05-03,11
2019-05-04,12
2019-05-05,14
2019-05-06,14
2019-05-07,23
2019-05-08,13
2019-05-09,15
2019-05-10,13
2019-05-11,12
2019-05-12,7
2019-05-13,13
2019-05-14,18
2019-05-15,24
2019-05-16,13
2019-05-17,11
2019-05-18,11
2019-05-19,9
2019-05-20,12
2019-05-21,9
2019-05-22,19
2019-05-23,19
2019-05-24,16
2019-05-25,6
2019-05-26,5
2019-05-27,12
2019-05-28,15
2019-05-29,15
2019-05-30,11
2019-05-31,16
2019-06-01,10
2019-06-02,10
2019-06-03,22
2019-06-04,16
2019-06-05,13
2019-06-06,13
2019-06-07,13
2019-06-08,5
2019-06-09,8
2019-06-10,13
2019-06-11,17
2019-06-12,12
2019-06-13,16
2019-06-14,14
2019-06-15,13
2019-06-16,11
2019-06-17,12
2019-06-18,15
2019-06-19,12
2019-06-20,19
2019-06-21,19
2019-06-22,11
2019-06-23,10
2019-06-24,9
2019-06-25,8
2019-06-26,15
2019-06-27,16
2019-06-28,14
2019-06-29,14
2019-06-30,15
2019-07-01,12
2019-07-02,11
2019-07-03,12
2019-07-04,10
2019-07-05,14
2019-07-06,15
2019-07-07,12
2019-07-08,15
2019-07-09,17
2019-07-10,15
2019-07-11,18
2019-07-12,18
2019-07-13,16
2019-07-14,12
2019-07-15,19
2019-07-16,20
2019-07-17,15
2019-07-18,10
2019-07-19,17
2019-07-20,9
2019-07-21,13
2019-07-22,19
2019-07-23,19
2019-07-24,19
2019-07-25,8
2019-07-26,18
2019-07-27,12
2019-07-28,10
2019-07-29,10
2019-07-30,16
2019-07-31,15
2019-08-01,18
2019-08-02,11
2019-08-03,18
2019-08-04,19
2019-08-05,18
2019-08-06,19
2019-08-07,11
2019-08-08,15
2019-08-09,19
2019-08-10,15
2019-08-11,7
2019-08-12,20
2019-08-13,17
2019-08-14,24
2019-08-15,15
2019-08-16,18
2019-08-17,15
2019-08-18,16
2019-08-19,18
2019-08-20,17
2019-08-21,15
2019-08-22,12
2019-08-23,15
2019-08-24,15
2019-08-25,21
2019-08-26,10
2019-08-27,21
2019-08-28,15
2019-08-29,19
2019-08-30,20
2019-08-31,7
2019-09-01,16
2019-09-02,14
2019-09-03,15
2019-09-04,18
2019-09-05,20
2019-09-06,21
2019-09-07,15
2019-09-08,15
2019-09-09,12
2019-09-10,18
2019-09-11,19
2019-09-12,11
2019-09-13,18
2019-09-14,19
2019-09-15,11
2019-09-16,18
2019-09-17,18
2019-09-18,27
2019-09-19,17
2019-09-20,10
2019-09-21,12
2019-09-22,12
2019-09-23,11
2019-09-24,14
2019-09-25,25
2019-09-26,19
2019-09-27,22
2019-09-28,11
2019-09-29,14
2019-09-30,20
2019-10-01,24
2019-10-02,24
2019-10-03,21
2019-10-04,16
2019-10-05,14
2019-10-06,14
2019-10-07,11
2019-10-08,16
2019-10-09,23
2019-10-10,25
2019-10-11,23
2019-10-12,17
2019-10-13,12
2019-10-14,17
2019-10-15,20
2019-10-16,26
2019-10-17,22
2019-10-18,23
2019-10-19,11
2019-10-20,9
2019-10-21,16
2019-10-22,26
2019-10-23,20
2019-10-24,21
2019-10-25,19
2019-10-26,17
2019-10-27,15
2019-10-28,28
2019-10-29,24
2019-10-30,21
2019-10-31,21
2019-11-01,14
2019-11-02,19
2019-11-03,17
2019-11-04,13
2019-11-05,20
2019-11-06,21
2019-11-07,28
2019-11-08,17
2019-11-09,22
2019-11-10,13
2019-11-11,13
2019-11-12,20
2019-11-13,20
2019-11-14,25
2019-11-15,20
2019-11-16,8
2019-11-17,7
2019-11-18,14
2019-11-19,20
2019-11-20,31
2019-11-21,23
2019-11-22,28
2019-11-23,10
2019-11-24,14
2019-11-25,22
2019-11-26,17
2019-11-27,21
2019-11-28,16
2019-11-29,12
2019-11-30,11
2019-12-01,11
2019-12-02,12
2019-12-03,17
2019-12-04,21
2019-12-05,17
2019-12-06,26
2019-12-07,14
2019-12-08,18
2019-12-09,19
2019-12-10,20
2019-12-11,18
2019-12-12,24
2019-12-13,13
2019-12-14,12
2019-12-15,13
2019-12-16,16
2019-12-17,14
2019-12-18,20
2019-12-19,21
2019-12-20,17
2019-12-21,11
2019-12-22,10
2019-12-23,13
2019-12-24,13
2019-12-25,17
2019-12-26,10
2019-12-27,12
2019-12-28,16
2019-12-29,15
2019-12-30,10
2019-12-31,16
