Date,Count
2019-01-01,44
2019-01-02,71
2019-01-03,79
2019-01-04,64
2019-01-05,46
2019-01-06,52
2019-01-07,60
2019-01-08,41
2019-01-09,70
2019-01-10,75
2019-01-11,67
2019-01-12,44
2019-01-13,57
2019-01-14,55
2019-01-15,44
2019-01-16,63
2019-01-17,65
2019-01-18,58
2019-01-19,47
2019-01-20,56
2019-01-21,54
2019-01-22,59
2019-01-23,71
2019-01-24,58
2019-01-25,68
2019-01-26,29
2019-01-27,49
2019-01-28,55
2019-01-29,58
2019-01-30,38
2019-01-31,43
2019-02-01,65
2019-02-02,48
2019-02-03,44
2019-02-04,70
2019-02-05,55
2019-02-06,63
2019-02-07,61
2019-02-08,58
2019-02-09,54
2019-02-10,59
2019-02-11,81
2019-02-12,65
2019-02-13,77
2019-02-14,58
2019-02-15,58
2019-02-16,45
2019-02-17,56
2019-02-18,66
2019-02-19,77
2019-02-20,72
2019-02-21,73
2019-02-22,79
2019-02-23,60
2019-02-24,52
2019-02-25,66
2019-02-26,85
2019-02-27,63
2019-02-28,85
2019-03-01,75
2019-03-02,52
2019-03-03,58
2019-03-04,80
2019-03-05,81
2019-03-06,89
2019-03-07,77
2019-03-08,75
2019-03-09,46
2019-03-10,51
2019-03-11,70
2019-03-12,86
2019-03-13,71
2019-03-14,77
2019-03-15,72
2019-03-16,64
2019-03-17,64
2019-03-18,71
2019-03-19,61
2019-03-20,80
2019-03-21,58
2019-03-22,74
2019-03-23,47
2019-03-24,79
2019-03-25,59
2019-03-26,63
2019-03-27,56
2019-03-28,75
2019-03-29,70
2019-03-30,63
2019-03-31,59
2019-04-01,72
2019-04-02,56
2019-04-03,78
2019-04-04,80
2019-04-05,81
2019-04-06,30
2019-04-07,7
2019-04-08,6
2019-04-09,7
2019-04-10,9
2019-04-11,15
2019-04-12,7
2019-04-13,14
2019-04-14,55
2019-04-15,96
2019-04-16,61
2019-04-17,68
2019-04-18,67
2019-04-19,58
2019-04-20,57
2019-04-21,72
2019-04-22,71
2019-04-23,65
2019-04-24,76
2019-04-25,78
2019-04-26,66
2019-04-27,52
2019-04-28,64
2019-04-29,69
