pickupArea,Percentage
1,3.21
2,8.35
3,4.53
4,8.35
5,1.03
6,3.77
7,1.39
8,7.17
9,0.03
10,0.34
11,2.49
12,0.84
13,6.89
14,8.93
15,0.46
16,4.22
17,0.09
18,0.01
19,0.17
20,0.42
21,0.87
22,0.4
23,0.07
24,0.4
25,0.13
26,0.01
27,0.05
28,2.47
29,0.03
30,0.01
31,0.03
32,5.48
33,0.4
34,0.04
35,0.07
36,0.01
37,0.01
38,0.11
39,0.03
40,0.01
41,0.15
42,0.03
43,0.05
44,0.01
45,0.0
46,0.03
47,0.0
48,0.0
49,0.05
50,0.0
51,0.01
52,0.0
53,0.05
54,0.0
55,0.0
56,0.93
57,0.01
58,0.01
59,0.01
60,0.05
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.01
67,0.02
68,0.0
69,0.02
70,0.01
71,0.03
72,0.0
73,0.01
74,0.0
75,0.0
76,19.23
77,6.02
