Date,Count
2019-01-01,62
2019-01-02,67
2019-01-03,66
2019-01-04,67
2019-01-05,42
2019-01-06,55
2019-01-07,53
2019-01-08,51
2019-01-09,59
2019-01-10,57
2019-01-11,54
2019-01-12,33
2019-01-13,35
2019-01-14,59
2019-01-15,53
2019-01-16,55
2019-01-17,63
2019-01-18,68
2019-01-19,42
2019-01-20,32
2019-01-21,46
2019-01-22,57
2019-01-23,60
2019-01-24,65
2019-01-25,55
2019-01-26,36
2019-01-27,45
2019-01-28,45
2019-01-29,61
2019-01-30,20
2019-01-31,36
2019-02-01,88
2019-02-02,42
2019-02-03,31
2019-02-04,70
2019-02-05,71
2019-02-06,60
2019-02-07,63
2019-02-08,82
2019-02-09,43
2019-02-10,34
2019-02-11,72
2019-02-12,60
2019-02-13,65
2019-02-14,65
2019-02-15,80
2019-02-16,52
2019-02-17,42
2019-02-18,59
2019-02-19,66
2019-02-20,72
2019-02-21,70
2019-02-22,78
2019-02-23,48
2019-02-24,41
2019-02-25,64
2019-02-26,61
2019-02-27,71
2019-02-28,78
2019-03-01,65
2019-03-02,58
2019-03-03,51
2019-03-04,65
2019-03-05,66
2019-03-06,85
2019-03-07,73
2019-03-08,72
2019-03-09,57
2019-03-10,54
2019-03-11,68
2019-03-12,65
2019-03-13,67
2019-03-14,61
2019-03-15,75
2019-03-16,66
2019-03-17,50
2019-03-18,69
2019-03-19,77
2019-03-20,67
2019-03-21,72
2019-03-22,83
2019-03-23,42
2019-03-24,51
2019-03-25,47
2019-03-26,57
2019-03-27,69
2019-03-28,64
2019-03-29,69
2019-03-30,67
2019-03-31,61
2019-04-01,73
2019-04-02,56
2019-04-03,67
2019-04-04,67
2019-04-05,95
2019-04-06,39
2019-04-07,11
2019-04-08,24
2019-04-09,19
2019-04-10,27
2019-04-11,19
2019-04-12,25
2019-04-13,31
2019-04-14,45
2019-04-15,60
2019-04-16,68
2019-04-17,81
2019-04-18,65
2019-04-19,60
2019-04-20,43
2019-04-21,44
2019-04-22,60
2019-04-23,63
2019-04-24,87
2019-04-25,80
2019-04-26,86
2019-04-27,42
2019-04-28,50
2019-04-29,52
2019-04-30,60
2019-05-01,71
2019-05-02,83
2019-05-03,83
2019-05-04,56
2019-05-05,49
2019-05-06,72
2019-05-07,74
2019-05-08,81
2019-05-09,77
2019-05-10,68
2019-05-11,50
2019-05-12,64
2019-05-13,68
2019-05-14,78
2019-05-15,69
2019-05-16,78
2019-05-17,81
2019-05-18,51
2019-05-19,61
2019-05-20,73
2019-05-21,77
2019-05-22,84
2019-05-23,96
2019-05-24,72
2019-05-25,57
2019-05-26,35
2019-05-27,40
2019-05-28,71
2019-05-29,80
2019-05-30,77
2019-05-31,80
2019-06-01,63
2019-06-02,54
2019-06-03,61
2019-06-04,70
2019-06-05,64
2019-06-06,66
2019-06-07,67
2019-06-08,76
2019-06-09,55
2019-06-10,61
2019-06-11,68
2019-06-12,86
2019-06-13,80
2019-06-14,88
2019-06-15,61
2019-06-16,51
2019-06-17,61
2019-06-18,63
2019-06-19,67
2019-06-20,78
2019-06-21,73
2019-06-22,48
2019-06-23,44
2019-06-24,71
2019-06-25,100
2019-06-26,82
2019-06-27,82
2019-06-28,78
2019-06-29,56
2019-06-30,42
2019-07-01,49
2019-07-02,69
2019-07-03,52
2019-07-04,61
2019-07-05,48
2019-07-06,46
2019-07-07,53
2019-07-08,77
2019-07-09,70
2019-07-10,63
2019-07-11,72
2019-07-12,76
2019-07-13,60
2019-07-14,50
2019-07-15,50
2019-07-16,78
2019-07-17,71
2019-07-18,69
2019-07-19,70
2019-07-20,69
2019-07-21,47
2019-07-22,64
2019-07-23,72
2019-07-24,59
2019-07-25,59
2019-07-26,80
2019-07-27,48
2019-07-28,36
2019-07-29,69
2019-07-30,59
2019-07-31,63
2019-08-01,75
2019-08-02,81
2019-08-03,60
2019-08-04,34
2019-08-05,57
2019-08-06,55
2019-08-07,73
2019-08-08,78
2019-08-09,81
2019-08-10,47
2019-08-11,36
2019-08-12,61
2019-08-13,63
2019-08-14,69
2019-08-15,55
2019-08-16,80
2019-08-17,43
2019-08-18,39
2019-08-19,72
2019-08-20,53
2019-08-21,60
2019-08-22,70
2019-08-23,64
2019-08-24,42
2019-08-25,49
2019-08-26,72
2019-08-27,62
2019-08-28,78
2019-08-29,75
2019-08-30,75
2019-08-31,60
2019-09-01,44
2019-09-02,32
2019-09-03,55
2019-09-04,71
2019-09-05,57
2019-09-06,72
2019-09-07,39
2019-09-08,43
2019-09-09,65
2019-09-10,77
2019-09-11,69
2019-09-12,80
2019-09-13,87
2019-09-14,78
2019-09-15,45
2019-09-16,62
2019-09-17,61
2019-09-18,67
2019-09-19,74
2019-09-20,87
2019-09-21,49
2019-09-22,60
2019-09-23,79
2019-09-24,80
2019-09-25,65
2019-09-26,79
