pickupArea,Percentage
1,0.52
2,0.19
3,0.63
4,0.19
5,0.03
6,1.17
7,2.13
8,14.37
9,0.0
10,0.05
11,0.14
12,0.03
13,0.0
14,0.25
15,0.15
16,0.12
17,0.02
18,0.0
19,0.14
20,0.02
21,0.2
22,0.47
23,0.34
24,2.57
25,0.47
26,0.05
27,3.59
28,13.88
29,0.49
30,0.34
31,1.32
32,13.07
33,3.71
34,0.91
35,1.98
36,0.76
37,0.68
38,2.25
39,1.59
40,0.68
41,1.96
42,0.51
43,0.63
44,0.51
45,2.69
46,0.25
47,0.07
48,0.05
49,0.29
50,0.27
51,0.17
52,0.0
53,0.29
54,0.02
55,0.0
56,4.54
57,0.1
58,0.3
59,0.54
60,0.9
61,5.43
62,0.19
63,0.1
64,0.0
65,0.07
66,0.36
67,0.39
68,0.86
69,0.44
70,0.17
71,1.25
72,0.07
73,0.17
74,0.1
75,0.14
76,3.99
77,0.39
78,2.3
