tripSeconds,tripMiles,pickupArea,dropArea,company,tripStartTime,tripKM
1020,2.6,32,8,28,2019-01-01 00:00:00,4.18
180,0.7,3,6,28,2019-01-01 02:00:00,1.13
240,0.7,32,28,28,2019-01-02 15:00:00,1.13
660,1.8,32,8,28,2019-01-02 16:00:00,2.9
720,2.1,32,8,28,2019-01-02 16:00:00,3.38
1200,2.4,32,32,28,2019-01-02 17:00:00,3.86
600,1.6,32,8,28,2019-01-02 17:00:00,2.57
120,0.5,32,28,28,2019-01-02 18:00:00,0.8
660,3.0,32,24,28,2019-01-02 18:00:00,4.83
240,0.7,32,28,28,2019-01-02 19:00:00,1.13
120,0.5,32,28,28,2019-01-02 19:00:00,0.8
840,2.2,32,8,28,2019-01-02 19:00:00,3.54
480,1.6,8,7,28,2019-01-02 20:00:00,2.57
660,1.9,32,8,28,2019-01-02 20:00:00,3.06
360,2.4,32,24,28,2019-01-02 21:00:00,3.86
420,1.1,32,8,28,2019-01-02 22:00:00,1.77
600,2.3,32,7,28,2019-01-02 23:00:00,3.7
120,0.5,32,8,28,2019-01-03 00:00:00,0.8
300,0.9,8,8,28,2019-01-03 00:00:00,1.45
120,0.5,32,28,28,2019-01-03 16:00:00,0.8
300,0.7,32,28,28,2019-01-03 16:00:00,1.13
960,1.9,32,8,28,2019-01-03 16:00:00,3.06
660,1.5,32,32,28,2019-01-03 17:00:00,2.41
240,0.5,32,28,28,2019-01-03 18:00:00,0.8
180,0.5,32,32,28,2019-01-03 18:00:00,0.8
540,1.1,32,28,28,2019-01-03 18:00:00,1.77
600,2.0,32,28,28,2019-01-03 19:00:00,3.22
180,0.5,32,28,28,2019-01-03 19:00:00,0.8
1140,6.1,32,6,28,2019-01-03 20:00:00,9.81
300,1.2,8,28,28,2019-01-03 20:00:00,1.93
480,4.3,32,22,28,2019-01-03 21:00:00,6.92
600,2.7,32,34,28,2019-01-03 22:00:00,4.34
240,0.6,32,8,28,2019-01-03 22:00:00,0.97
360,1.2,32,8,28,2019-01-03 23:00:00,1.93
240,0.6,32,28,28,2019-01-04 16:00:00,0.97
240,0.6,32,28,28,2019-01-04 16:00:00,0.97
780,2.9,32,34,28,2019-01-04 16:00:00,4.67
120,0.5,32,28,28,2019-01-04 16:00:00,0.8
300,0.8,32,32,28,2019-01-04 17:00:00,1.29
360,0.7,32,28,28,2019-01-04 17:00:00,1.13
1200,1.4,32,8,28,2019-01-04 18:00:00,2.25
120,0.5,32,28,28,2019-01-04 19:00:00,0.8
360,0.7,32,28,28,2019-01-04 19:00:00,1.13
1080,4.4,32,24,28,2019-01-04 19:00:00,7.08
1320,4.5,24,6,28,2019-01-04 20:00:00,7.24
360,1.3,32,8,28,2019-01-04 21:00:00,2.09
300,1.1,8,32,28,2019-01-04 22:00:00,1.77
720,3.4,32,24,28,2019-01-04 22:00:00,5.47
720,4.8,32,22,28,2019-01-04 23:00:00,7.72
480,1.1,32,8,28,2019-01-05 17:00:00,1.77
480,1.0,8,8,28,2019-01-05 17:00:00,1.61
420,1.2,8,28,28,2019-01-05 17:00:00,1.93
660,1.3,32,8,28,2019-01-05 18:00:00,2.09
360,1.2,32,28,28,2019-01-05 19:00:00,1.93
840,3.1,7,21,28,2019-01-05 22:00:00,4.99
180,0.5,8,8,28,2019-01-06 15:00:00,0.8
720,2.1,8,8,28,2019-01-06 16:00:00,3.38
420,1.5,32,33,28,2019-01-06 16:00:00,2.41
180,0.6,8,8,28,2019-01-06 18:00:00,0.97
420,1.3,32,8,28,2019-01-06 18:00:00,2.09
540,2.0,32,8,28,2019-01-06 19:00:00,3.22
1500,5.3,32,24,28,2019-01-06 20:00:00,8.53
540,1.6,32,28,28,2019-01-06 21:00:00,2.57
480,1.6,32,8,28,2019-01-06 21:00:00,2.57
240,0.7,32,28,28,2019-01-06 21:00:00,1.13
240,0.9,32,32,28,2019-01-06 21:00:00,1.45
540,1.5,8,8,28,2019-01-06 21:00:00,2.41
360,1.1,32,8,28,2019-01-06 21:00:00,1.77
240,0.7,8,8,28,2019-01-07 00:00:00,1.13
780,3.4,6,22,28,2019-01-07 00:00:00,5.47
360,1.2,2,1,28,2019-01-07 15:00:00,1.93
120,0.5,8,8,28,2019-01-07 15:00:00,0.8
240,0.7,32,28,28,2019-01-07 15:00:00,1.13
240,0.9,32,8,28,2019-01-07 15:00:00,1.45
480,1.6,32,28,28,2019-01-07 16:00:00,2.57
180,0.7,28,32,28,2019-01-07 16:00:00,1.13
360,0.7,32,28,28,2019-01-07 16:00:00,1.13
420,1.3,32,8,28,2019-01-07 17:00:00,2.09
600,1.4,8,28,28,2019-01-07 17:00:00,2.25
180,0.5,32,28,28,2019-01-07 18:00:00,0.8
360,0.7,32,28,28,2019-01-07 18:00:00,1.13
360,0.7,32,28,28,2019-01-07 18:00:00,1.13
300,0.7,32,28,28,2019-01-07 18:00:00,1.13
420,0.7,32,28,28,2019-01-07 19:00:00,1.13
600,2.3,32,28,28,2019-01-07 19:00:00,3.7
180,0.7,32,28,28,2019-01-07 19:00:00,1.13
540,1.6,32,8,28,2019-01-07 19:00:00,2.57
360,0.9,32,32,28,2019-01-07 21:00:00,1.45
840,6.4,32,6,28,2019-01-07 22:00:00,10.3
900,3.6,32,7,28,2019-01-07 23:00:00,5.79
780,5.7,32,6,28,2019-01-08 00:00:00,9.17
300,0.6,8,8,28,2019-01-08 16:00:00,0.97
120,0.5,32,28,28,2019-01-08 17:00:00,0.8
240,0.7,32,28,28,2019-01-08 17:00:00,1.13
300,0.7,32,28,28,2019-01-08 17:00:00,1.13
300,0.7,32,28,28,2019-01-08 18:00:00,1.13
180,0.7,32,28,28,2019-01-08 18:00:00,1.13
180,0.7,32,28,28,2019-01-08 18:00:00,1.13
1140,1.6,32,8,28,2019-01-08 18:00:00,2.57
420,1.0,8,28,28,2019-01-08 19:00:00,1.61
540,1.2,32,8,28,2019-01-08 19:00:00,1.93
720,2.6,32,7,28,2019-01-08 20:00:00,4.18
180,0.5,8,8,28,2019-01-08 20:00:00,0.8
1020,3.6,8,24,28,2019-01-08 21:00:00,5.79
540,1.9,32,33,28,2019-01-08 21:00:00,3.06
660,4.9,32,5,28,2019-01-08 22:00:00,7.88
120,0.6,32,8,28,2019-01-08 23:00:00,0.97
540,4.1,8,22,28,2019-01-08 23:00:00,6.6
660,2.8,8,7,28,2019-01-09 15:00:00,4.51
420,0.6,32,32,28,2019-01-09 16:00:00,0.97
420,1.5,32,28,28,2019-01-09 16:00:00,2.41
360,1.3,32,32,28,2019-01-09 16:00:00,2.09
180,0.6,32,28,28,2019-01-09 16:00:00,0.97
1320,2.3,32,32,28,2019-01-09 17:00:00,3.7
420,0.7,32,28,28,2019-01-09 17:00:00,1.13
1140,4.8,32,24,28,2019-01-09 18:00:00,7.72
780,1.2,28,28,28,2019-01-09 18:00:00,1.93
420,1.2,32,8,28,2019-01-09 19:00:00,1.93
600,2.0,32,28,28,2019-01-09 19:00:00,3.22
360,1.2,32,8,28,2019-01-09 21:00:00,1.93
720,2.0,32,28,28,2019-01-09 21:00:00,3.22
480,1.8,28,28,28,2019-01-09 21:00:00,2.9
1140,6.6,32,6,28,2019-01-09 22:00:00,10.62
540,2.8,32,24,28,2019-01-09 23:00:00,4.51
900,4.4,24,3,28,2019-01-09 23:00:00,7.08
420,1.2,32,8,28,2019-01-10 15:00:00,1.93
240,0.6,32,32,28,2019-01-10 16:00:00,0.97
1020,2.6,32,8,28,2019-01-10 16:00:00,4.18
840,4.4,32,24,28,2019-01-10 17:00:00,7.08
300,0.8,32,32,28,2019-01-10 18:00:00,1.29
120,0.5,32,28,28,2019-01-10 18:00:00,0.8
660,1.3,28,8,28,2019-01-10 18:00:00,2.09
180,0.7,32,28,28,2019-01-10 18:00:00,1.13
360,1.1,28,32,28,2019-01-10 19:00:00,1.77
540,1.4,32,8,28,2019-01-10 20:00:00,2.25
1380,4.0,32,6,28,2019-01-10 20:00:00,6.44
540,4.9,32,21,28,2019-01-10 22:00:00,7.88
600,1.8,32,8,28,2019-01-10 22:00:00,2.9
240,0.7,8,8,28,2019-01-10 22:00:00,1.13
1200,9.4,32,77,28,2019-01-10 23:00:00,15.12
360,0.8,32,32,28,2019-01-11 15:00:00,1.29
600,1.6,32,28,28,2019-01-11 15:00:00,2.57
720,2.1,32,8,28,2019-01-11 16:00:00,3.38
660,1.7,8,28,28,2019-01-11 16:00:00,2.74
300,0.7,32,28,28,2019-01-11 16:00:00,1.13
120,0.6,32,32,28,2019-01-11 17:00:00,0.97
180,0.7,32,28,28,2019-01-11 17:00:00,1.13
180,0.5,32,28,28,2019-01-11 17:00:00,0.8
240,0.5,32,28,28,2019-01-11 17:00:00,0.8
540,1.3,32,8,28,2019-01-11 17:00:00,2.09
960,1.0,8,8,28,2019-01-11 18:00:00,1.61
600,1.5,32,28,28,2019-01-11 18:00:00,2.41
720,1.1,32,8,28,2019-01-11 18:00:00,1.77
300,0.6,32,32,28,2019-01-11 19:00:00,0.97
600,1.4,32,8,28,2019-01-11 19:00:00,2.25
540,1.5,32,28,28,2019-01-11 19:00:00,2.41
780,0.8,28,24,28,2019-01-11 20:00:00,1.29
720,1.6,32,8,28,2019-01-11 20:00:00,2.57
540,1.4,8,28,28,2019-01-11 21:00:00,2.25
720,3.5,32,24,28,2019-01-11 21:00:00,5.63
480,1.7,32,8,28,2019-01-11 22:00:00,2.74
240,0.6,8,32,28,2019-01-11 23:00:00,0.97
600,1.3,32,8,28,2019-01-11 23:00:00,2.09
540,2.8,8,24,28,2019-01-11 23:00:00,4.51
300,0.8,32,32,28,2019-01-12 00:00:00,1.29
720,2.5,32,33,28,2019-01-12 00:00:00,4.02
1440,8.9,8,77,28,2019-01-12 01:00:00,14.32
1620,8.5,1,8,28,2019-01-12 16:00:00,13.68
660,1.9,32,28,28,2019-01-12 17:00:00,3.06
420,1.2,32,32,28,2019-01-12 17:00:00,1.93
360,0.7,32,8,28,2019-01-12 18:00:00,1.13
840,3.8,32,24,28,2019-01-12 19:00:00,6.11
300,0.8,8,24,28,2019-01-12 19:00:00,1.29
720,2.5,24,8,28,2019-01-12 19:00:00,4.02
780,2.1,24,32,28,2019-01-12 19:00:00,3.38
720,2.0,32,8,28,2019-01-12 20:00:00,3.22
780,5.6,28,6,28,2019-01-12 23:00:00,9.01
420,1.4,77,77,28,2019-01-12 23:00:00,2.25
1140,8.3,3,32,28,2019-01-13 16:00:00,13.35
240,1.0,32,8,28,2019-01-13 17:00:00,1.61
480,1.1,32,32,28,2019-01-13 17:00:00,1.77
1560,4.8,32,7,28,2019-01-13 17:00:00,7.72
480,2.0,8,24,28,2019-01-13 18:00:00,3.22
300,1.1,32,8,28,2019-01-13 19:00:00,1.77
600,3.1,8,24,28,2019-01-13 19:00:00,4.99
360,0.8,32,32,28,2019-01-14 15:00:00,1.29
780,2.6,32,31,28,2019-01-14 15:00:00,4.18
720,2.2,32,8,28,2019-01-14 16:00:00,3.54
420,1.5,32,8,28,2019-01-14 17:00:00,2.41
240,0.7,32,28,28,2019-01-14 17:00:00,1.13
300,0.7,32,28,28,2019-01-14 17:00:00,1.13
720,1.2,32,8,28,2019-01-14 17:00:00,1.93
120,0.5,32,28,28,2019-01-14 17:00:00,0.8
