0,Taxi Affiliation Service Yellow
1,Checker Taxi Affiliation
2,Chicago Independents
3,City Service
4,Globe Taxi
5,Blue Diamond
6,Nova Taxi Affiliation Llc
7,Sun Taxi
8,Patriot Taxi Dba Peace Taxi Associat
9,Medallion Leasin
10,Flash Cab
11,Chicago Carriage Cab Corp
12,24 Seven Taxi
13,Setare Inc
14,5 Star Taxi
15,Leonard Cab Co
16,Metro Jet Taxi A
17,Gold Coast Taxi
18,Taxi Affiliation Services
19,Star North Management LLC
20,Top Cab Affiliation
21,Choice Taxi Association
22,"Taxicab Insurance Agency, LLC"
23,Blue Ribbon Taxi Association Inc.
24,2733 - 74600 Benny Jona
25,6742 - 83735 Tasha ride inc
26,KOAM Taxi Association
27,Chicago Medallion Management
28,1085 - 72312 N and W Cab Co
29,312 Medallion Management Corp
30,American United Taxi Affiliation
31,Chicago Taxicab
32,2092 - 61288 Sbeih company
33,6743 - 78771 Luhak Corp
34,1469 - 64126 Omar Jada
35,5006 - 39261 Salifu Bawa
36,3094 - 24059 G.L.B. Cab Co
37,5074 - 54002 Ahzmi Inc
38,4623 - 27290 Jay Kim
39,5062 - 34841 Sam Mestas
40,4053 - 40193 Adwar H. Nikola
41,5874 - 73628 Sergey Cab Corp.
42,3623 - 72222 Arrington Enterprises
43,"3721 - Santamaria Express, Alvaro Santamaria"
44,3620 - 52292 David K. Cab Corp.
45,3011 - 66308 JBL Cab Inc.
46,6574 - Babylon Express Inc.
47,U Taxicab
48,Petani Cab Corp
49,3591 - 63480 Chuks Cab
50,3556 - 36214 RC Andrews Cab
51,American United
52,Yellow Cab
53,Chicago Star Taxicab
54,Checker Taxi
