0,Taxi Affiliation Service Yellow
1,Checker Taxi Affiliation
2,Chicago Independents
3,City Service
4,Globe Taxi
5,Blue Diamond
6,Nova Taxi Affiliation Llc
7,Sun Taxi
8,Patriot Taxi Dba Peace Taxi Associat
9,Medallion Leasin
10,Flash Cab
11,Chicago Carriage Cab Corp
12,24 Seven Taxi
13,Setare Inc
14,5 Star Taxi
15,Leonard Cab Co
16,Metro Jet Taxi A
17,Gold Coast Taxi
18,Taxi Affiliation Services
19,Star North Management LLC
20,Top Cab Affiliation
21,Choice Taxi Association
22,"Taxicab Insurance Agency, LLC"
23,Blue Ribbon Taxi Association Inc.
24,Benny Jona
25,Tasha ride inc
26,KOAM Taxi Association
27,Chicago Medallion Management
28,N and W Cab Co
29,Medallion Management Corp
30,American United Taxi Affiliation
31,Chicago Taxicab
32,Sbeih company
33,Luhak Corp
34,Omar Jada
35,Salifu Bawa
36,G.L.B. Cab Co
37,Ahzmi Inc
38,Jay Kim
39,Sam Mestas
40,Adwar H. Nikola
41,Sergey Cab Corp.
42,Arrington Enterprises
43,"Santamaria Express, Alvaro Santamaria"
44,David K. Cab Corp.
45,JBL Cab Inc.
46,Babylon Express Inc.
47,U Taxicab
48,Petani Cab Corp
49,Chuks Cab
50,RC Andrews Cab
51,American United
52,Yellow Cab
53,Chicago Star Taxicab
54,Checker Taxi
